direction,chrf++
eng_Latn-vie_Latn,56.4
eng_Latn-war_Latn,54.3
eng_Latn-wol_Latn,23.5
eng_Latn-xho_Latn,46.6
eng_Latn-ydd_Hebr,35.6
eng_Latn-yor_Latn,22.9
eng_Latn-yue_Hant,15.4
eng_Latn-zho_Hans,19.6
eng_Latn-zho_Hant,13.3
eng_Latn-zsm_Latn,63.5
eng_Latn-zul_Latn,51
epo_Latn-eng_Latn,65.5
est_Latn-eng_Latn,58.1
eus_Latn-eng_Latn,55.7
ewe_Latn-eng_Latn,35.8
fao_Latn-eng_Latn,49.4
fij_Latn-eng_Latn,39.9
fin_Latn-eng_Latn,56.6
fon_Latn-eng_Latn,28.9
fra_Latn-eng_Latn,65.4
fra_Latn-hau_Latn,41.3
fra_Latn-knc_Latn,13.7
fra_Latn-lin_Latn,45.1
fra_Latn-oci_Latn,53.7
fra_Latn-plt_Latn,45.5
fra_Latn-run_Latn,37.5
fra_Latn-wol_Latn,22
fur_Latn-eng_Latn,63.6
fuv_Latn-eng_Latn,30.7
fuv_Latn-knc_Latn,10.9
gaz_Latn-eng_Latn,44.1
gaz_Latn-som_Latn,33.2
gla_Latn-eng_Latn,51.6
gle_Latn-eng_Latn,58.1
glg_Latn-eng_Latn,64.1
glg_Latn-eus_Latn,46.1
grn_Latn-ayr_Latn,25.8
grn_Latn-eng_Latn,44.5
guj_Gujr-eng_Latn,62.5
guj_Gujr-kan_Knda,45.5
guj_Gujr-pan_Guru,43.2
guj_Gujr-san_Deva,22.1
guj_Gujr-sin_Sinh,39.5
guj_Gujr-tam_Taml,46.9
guj_Gujr-tel_Telu,46.9
guj_Gujr-urd_Arab,42.8
hat_Latn-eng_Latn,58.5
hau_Latn-eng_Latn,52.6
hau_Latn-knc_Latn,13
heb_Hebr-eng_Latn,61.8
hin_Deva-eng_Latn,62.5
hin_Deva-kan_Knda,45.7
hin_Deva-mag_Deva,48.6
hin_Deva-mai_Deva,41.5
hin_Deva-mar_Deva,41.9
hin_Deva-pan_Guru,44.8
hin_Deva-pbt_Arab,33.8
hin_Deva-san_Deva,22.2
hin_Deva-snd_Arab,42.6
hin_Deva-tam_Taml,46.6
hin_Deva-tel_Telu,46.3
hne_Deva-eng_Latn,66.9
hne_Deva-kan_Knda,46.1
hne_Deva-npi_Deva,46.9
hne_Deva-ory_Orya,43.3
hne_Deva-pbt_Arab,34
hne_Deva-sin_Sinh,39.7
hne_Deva-urd_Arab,43.8
hrv_Latn-bos_Latn,50
hrv_Latn-eng_Latn,59.5
hrv_Latn-srp_Cyrl,48.2
hun_Latn-bel_Cyrl,34.5
hun_Latn-eng_Latn,58
hun_Latn-hye_Armn,41.4
hun_Latn-srp_Cyrl,42.7
hye_Armn-eng_Latn,60.1
ibo_Latn-eng_Latn,48.8
ilo_Latn-eng_Latn,57.6
ind_Latn-eng_Latn,63.9
ind_Latn-shn_Mymr,26
ind_Latn-sun_Latn,44.7
isl_Latn-eng_Latn,52.2
ita_Latn-eng_Latn,59.3
ita_Latn-srd_Latn,45.5
jav_Latn-ace_Latn,33.5
jav_Latn-eng_Latn,58.8
jav_Latn-sun_Latn,43.6
jpn_Jpan-eng_Latn,50.2
jpn_Jpan-khk_Cyrl,30.5
jpn_Jpan-yue_Hant,12
kab_Latn-eng_Latn,39.7
kac_Latn-eng_Latn,36.2
kam_Latn-eng_Latn,32
kan_Knda-eng_Latn,57
kan_Knda-mai_Deva,35.1
kan_Knda-ory_Orya,38.6
kan_Knda-snd_Arab,38.1
kan_Knda-tam_Taml,45.5
kan_Knda-urd_Arab,39.4
kas_Arab-eng_Latn,53.6
kas_Deva-eng_Latn,41.5
kat_Geor-eng_Latn,52.6
kaz_Cyrl-eng_Latn,55.7
kbp_Latn-eng_Latn,32.3
kea_Latn-eng_Latn,64.2
khk_Cyrl-eng_Latn,48.8
khk_Cyrl-yue_Hant,10.4
khm_Khmr-eng_Latn,53
khm_Khmr-tgl_Latn,45.5
khm_Khmr-zsm_Latn,49.1
kik_Latn-eng_Latn,42.9
kin_Latn-eng_Latn,51.3
kir_Cyrl-eng_Latn,48.3
kmb_Latn-eng_Latn,31.6
kmr_Latn-ckb_Arab,29.9
kmr_Latn-eng_Latn,46.3
kmr_Latn-tat_Cyrl,33.3
knc_Arab-eng_Latn,17.8
knc_Latn-eng_Latn,33.9
kon_Latn-eng_Latn,41.4
kor_Hang-eng_Latn,52.5
kor_Hang-khk_Cyrl,32.2
lao_Laoo-eng_Latn,56.3
lao_Laoo-tgl_Latn,46.2
lij_Latn-eng_Latn,64.6
lim_Latn-eng_Latn,60.3
lin_Latn-eng_Latn,46.7
lit_Latn-eng_Latn,55.2
lmo_Latn-eng_Latn,58.1
ltg_Latn-eng_Latn,56
ltz_Latn-eng_Latn,64.1
ltz_Latn-fra_Latn,56.4
lua_Latn-eng_Latn,38
lug_Latn-eng_Latn,41.7
luo_Latn-eng_Latn,43
lus_Latn-eng_Latn,38.6
lvs_Latn-eng_Latn,56.3
lvs_Latn-ltg_Latn,37.3
mag_Deva-eng_Latn,66.9
mag_Deva-pan_Guru,45.7
mag_Deva-pbt_Arab,34.8
mag_Deva-sin_Sinh,40.2
mag_Deva-snd_Arab,43.5
mag_Deva-tel_Telu,48.4
mai_Deva-eng_Latn,62.8
mai_Deva-mal_Mlym,43.4
mai_Deva-mar_Deva,42.1
mai_Deva-npi_Deva,45.7
mai_Deva-pan_Guru,44.4
mai_Deva-pbt_Arab,33.6
mai_Deva-san_Deva,22.1
mai_Deva-tel_Telu,46
mai_Deva-urd_Arab,43.4
mal_Mlym-eng_Latn,59
mal_Mlym-pan_Guru,39.2
mal_Mlym-snd_Arab,38.8
mar_Deva-eng_Latn,58.9
mar_Deva-npi_Deva,43.1
mar_Deva-ory_Orya,40.2
mar_Deva-pbt_Arab,32.8
mar_Deva-sin_Sinh,38
mar_Deva-tel_Telu,45.1
min_Latn-eng_Latn,56
mkd_Cyrl-eng_Latn,63.1
mlt_Latn-eng_Latn,71.7
mlt_Latn-scn_Latn,29.7
mni_Beng-eng_Latn,47.8
mos_Latn-eng_Latn,29.3
mri_Latn-eng_Latn,47.3
mya_Mymr-eng_Latn,51.6
mya_Mymr-ind_Latn,48.4
mya_Mymr-khm_Khmr,24.8
nld_Latn-eng_Latn,56.9
nno_Latn-eng_Latn,63.7
nob_Latn-eng_Latn,62.9
nob_Latn-nno_Latn,49.7
npi_Deva-eng_Latn,62.5
npi_Deva-pan_Guru,42.7
npi_Deva-pbt_Arab,33.5
npi_Deva-sin_Sinh,39.1
npi_Deva-urd_Arab,42.6
nso_Latn-eng_Latn,56.6
nus_Latn-eng_Latn,34.6
nya_Latn-eng_Latn,47.3
oci_Latn-eng_Latn,72.4
ory_Orya-eng_Latn,58.5
ory_Orya-pbt_Arab,32.1
ory_Orya-tel_Telu,45.1
pag_Latn-eng_Latn,48.6
pan_Guru-eng_Latn,61.5
pan_Guru-sin_Sinh,38.8
pan_Guru-tam_Taml,46.2
pan_Guru-urd_Arab,43.9
pap_Latn-eng_Latn,65.5
pbt_Arab-eng_Latn,54.5
pbt_Arab-san_Deva,18.8
pbt_Arab-snd_Arab,37
pbt_Arab-tgk_Cyrl,38
pbt_Arab-urd_Arab,38.7
pes_Arab-eng_Latn,58.7
pes_Arab-prs_Arab,46.2
pes_Arab-tgk_Cyrl,41.1
plt_Latn-eng_Latn,52.6
pol_Latn-eng_Latn,54.3
pol_Latn-szl_Latn,37.3
por_Latn-cjk_Latn,19.6
por_Latn-eng_Latn,69
por_Latn-glg_Latn,54.5
por_Latn-kon_Latn,43.9
prs_Arab-eng_Latn,59.3
quy_Latn-ayr_Latn,20.9
quy_Latn-eng_Latn,30.9
ron_Latn-bel_Cyrl,36.5
ron_Latn-eng_Latn,65.9
ron_Latn-hye_Armn,44.2
ron_Latn-ukr_Cyrl,45.6
run_Latn-eng_Latn,45.5
rus_Cyrl-bak_Cyrl,45.6
rus_Cyrl-crh_Latn,39
rus_Cyrl-eng_Latn,58.6
rus_Cyrl-hye_Armn,44.1
rus_Cyrl-tat_Cyrl,45.7
sag_Latn-eng_Latn,30.9
san_Deva-eng_Latn,43.3
san_Deva-snd_Arab,28.5
san_Deva-urd_Arab,31.5
sat_Olck-eng_Latn,36.5
scn_Latn-eng_Latn,58.1
scn_Latn-fra_Latn,52.6
scn_Latn-ita_Latn,46.8
shn_Mymr-eng_Latn,45
sin_Sinh-eng_Latn,56.5
sin_Sinh-tam_Taml,44.4
sin_Sinh-tel_Telu,42.9
slk_Latn-ces_Latn,49.3
slk_Latn-eng_Latn,61.1
slv_Latn-eng_Latn,57.6
smo_Latn-eng_Latn,51.9
sna_Latn-eng_Latn,47.3
sna_Latn-sot_Latn,37.3
sna_Latn-tsn_Latn,40.3
snd_Arab-eng_Latn,60.2
snd_Arab-tam_Taml,45.3
snd_Arab-urd_Arab,43.6
som_Latn-eng_Latn,49.4
sot_Latn-eng_Latn,57.6
sot_Latn-xho_Latn,42.3
spa_Latn-ast_Latn,45.5
spa_Latn-ayr_Latn,27
spa_Latn-cat_Latn,50.7
spa_Latn-eng_Latn,57.1
spa_Latn-glg_Latn,49.5
spa_Latn-quy_Latn,23.9
srd_Latn-eng_Latn,63.4
srp_Cyrl-eng_Latn,63.5
srp_Cyrl-hrv_Latn,49.4
srp_Cyrl-slk_Latn,46.5
ssw_Latn-eng_Latn,48.1
ssw_Latn-tso_Latn,41.1
sun_Latn-ban_Latn,39.5
sun_Latn-eng_Latn,58
swe_Latn-eng_Latn,67
swe_Latn-fin_Latn,45.4
swe_Latn-ydd_Hebr,31.7
swh_Latn-eng_Latn,60.7
szl_Latn-eng_Latn,62.1
tam_Taml-eng_Latn,55.8
taq_Latn-eng_Latn,29.7
taq_Tfng-eng_Latn,20.7
tat_Cyrl-eng_Latn,54.4
tel_Telu-eng_Latn,61.2
tel_Telu-urd_Arab,40.1
tgk_Cyrl-eng_Latn,55.6
tgl_Latn-ceb_Latn,51.9
tgl_Latn-eng_Latn,63.7
tgl_Latn-ind_Latn,55.9
tgl_Latn-shn_Mymr,26.2
tha_Thai-eng_Latn,52.7
tha_Thai-khm_Khmr,27.5
tha_Thai-mya_Mymr,24.5
tha_Thai-shn_Mymr,24.1
tir_Ethi-eng_Latn,45.2
tir_Ethi-ita_Latn,36.4
tpi_Latn-eng_Latn,49
tsn_Latn-eng_Latn,48.1
tsn_Latn-ssw_Latn,36.6
tso_Latn-eng_Latn,50.2
tuk_Latn-eng_Latn,53
tum_Latn-eng_Latn,41
tur_Latn-crh_Latn,39.4
tur_Latn-eng_Latn,60
twi_Latn-eng_Latn,42.8
tzm_Tfng-eng_Latn,37.5
uig_Arab-eng_Latn,47.4
ukr_Cyrl-bel_Cyrl,39.5
ukr_Cyrl-eng_Latn,61.1
ukr_Cyrl-hye_Armn,44.1
ukr_Cyrl-tur_Latn,44.3
umb_Latn-eng_Latn,30.3
urd_Arab-eng_Latn,57.8
uzn_Latn-eng_Latn,56.4
vec_Latn-eng_Latn,63.1
vie_Latn-eng_Latn,58.1
vie_Latn-shn_Mymr,25.4
vie_Latn-tgl_Latn,47.6
war_Latn-eng_Latn,64.5
wol_Latn-eng_Latn,36.7
xho_Latn-eng_Latn,55.1
xho_Latn-tso_Latn,45
ydd_Hebr-eng_Latn,64.5
yor_Latn-eng_Latn,39.9
yue_Hant-eng_Latn,51.3
zho_Hans-eng_Latn,52.9
zho_Hans-khk_Cyrl,31.1
zho_Hans-yue_Hant,16.8
zho_Hant-eng_Latn,49.7
zsm_Latn-eng_Latn,64.3
zul_Latn-eng_Latn,56.8
zul_Latn-nso_Latn,44.9
zul_Latn-ssw_Latn,40.3
zul_Latn-tso_Latn,46.4
